support_account,total_tweets,inbound_tweets,outbound_tweets,unique_customers,conversation_count,multi_turn_conversations,multi_turn_rate,avg_conversation_length,median_conversation_length,cust_support_participating_convs,participation_rate
AmazonHelp,270343,100503,169840,71668,82534,82534,1.0,4.53,3.0,82534,1.0
AppleSupport,143518,36658,106860,77432,80702,80702,1.0,2.96,2.0,80702,1.0
Uber_Support,78430,22160,56270,38951,41923,41923,1.0,3.07,2.0,41923,1.0
SpotifyCares,58361,15096,43265,27995,28280,28280,1.0,3.25,2.0,28277,0.9999
Delta,56723,14470,42253,22770,26166,26166,1.0,3.36,2.0,26164,0.9999
AmericanAir,54809,18045,36764,22433,26385,26385,1.0,3.32,2.0,26385,1.0
Tesco,51385,12812,38573,16010,16721,16721,1.0,4.38,4.0,16721,1.0
VirginTrains,46267,18450,27817,12996,14850,14850,1.0,4.43,3.0,14848,0.9999
TMobileHelp,45979,11662,34317,20145,22789,22789,1.0,3.63,2.0,22789,1.0
comcastcares,41937,8906,33031,22248,24061,24061,1.0,3.04,2.0,24061,1.0
British_Airways,41846,12485,29361,14537,16450,16450,1.0,3.69,3.0,16450,1.0
SouthwestAir,40169,11192,28977,20348,21636,21636,1.0,2.99,2.0,21634,0.9999
XboxSupport,36390,11833,24557,13579,13454,13454,1.0,4.29,3.0,13434,0.9985
Ask_Spectrum,35396,9536,25860,17623,18530,18530,1.0,3.22,2.0,18529,0.9999
GWRHelp,32491,13127,19364,7876,10728,10728,1.0,4.37,3.0,10728,1.0
sprintcare,31275,8894,22381,13151,13555,13555,1.0,3.99,2.0,13555,1.0
hulu_support,31014,9142,21872,13599,14955,14955,1.0,3.3,2.0,14952,0.9998
VerizonSupport,30919,12953,17966,7954,8446,8446,1.0,5.44,4.0,8446,1.0
ATVIAssist,30705,13055,17650,15654,11096,11096,1.0,4.36,2.0,11096,1.0
AskPlayStation,28849,9751,19098,12602,12533,12533,1.0,3.44,2.0,12533,1.0
sainsburys,28797,9331,19466,10599,10934,10934,1.0,4.0,3.0,10934,1.0
ChipotleTweets,26138,7389,18749,14810,14392,14392,1.0,2.91,2.0,14392,1.0
O2,24720,8508,16212,8935,9520,9520,1.0,3.84,2.0,9520,1.0
idea_cares,24454,8730,15724,6075,7521,7521,1.0,4.63,3.0,7521,1.0
Safaricom_Care,23751,7674,16077,7162,9337,9337,1.0,3.61,3.0,9337,1.0
UPSHelp,23657,5840,17817,14780,15522,15522,1.0,2.87,2.0,15522,1.0
SW_Help,20208,7977,12231,4769,6221,6221,1.0,4.63,3.0,6221,1.0
ArgosHelpers,18874,6700,12174,6896,7553,7553,1.0,3.75,3.0,7553,1.0
AirAsiaSupport,18698,5869,12829,6433,6762,6762,1.0,3.99,2.0,6761,0.9999
AskTarget,17931,4713,13218,10936,11149,11149,1.0,2.75,2.0,11149,1.0
MicrosoftHelps,17532,6228,11304,4145,4458,4458,1.0,5.5,4.0,4458,1.0
BofA_Help,16466,3783,12683,6343,6581,6581,1.0,3.78,3.0,6581,1.0
AskAmex,16227,4869,11358,4024,4300,4300,1.0,4.86,4.0,4300,1.0
marksandspencer,15813,4309,11504,7822,7976,7976,1.0,3.25,2.0,7975,0.9999
AskLyft,14721,2912,11809,9593,10169,10169,1.0,2.68,2.0,10169,1.0
AdobeCare,14484,4567,9917,4679,5094,5094,1.0,4.12,3.0,5094,1.0
AskPayPal,14343,3045,11298,9575,9587,9587,1.0,2.83,2.0,9587,1.0
AskeBay,14174,4488,9686,4986,5662,5662,1.0,3.74,2.0,5662,1.0
Morrisons,14051,3925,10126,5534,5960,5960,1.0,3.57,3.0,5958,0.9997
airtel_care,12733,2852,9881,2839,4024,4024,1.0,4.53,3.0,4022,0.9995
AirbnbHelp,12314,3439,8875,5456,6033,6033,1.0,3.33,2.0,6033,1.0
JetBlue,11840,3820,8020,4746,5181,5181,1.0,3.44,3.0,5181,1.0
LondonMidland,11554,4732,6822,3144,3675,3675,1.0,4.42,3.0,3673,0.9995
CoxHelp,11390,3529,7861,4380,4874,4874,1.0,3.75,2.0,4874,1.0
AldiUK,10864,2750,8114,6491,6631,6631,1.0,2.86,2.0,6631,1.0
AzureSupport,10791,3226,7565,2799,3309,3309,1.0,4.45,3.0,3297,0.9964
ChaseSupport,10785,1974,8811,6723,6887,6887,1.0,2.77,2.0,6887,1.0
McDonalds,10693,2215,8478,8974,8132,8132,1.0,2.4,2.0,8132,1.0
AlaskaAir,10418,2940,7478,4850,5629,5629,1.0,3.0,2.0,5629,1.0
GloCare,10237,3929,6308,2418,3219,3219,1.0,4.65,3.0,3219,1.0
Ask_WellsFargo,9408,1830,7578,5691,6036,6036,1.0,2.76,2.0,6036,1.0
HPSupport,8176,976,7200,3735,3841,3841,1.0,3.27,3.0,3841,1.0
